word,count
Oppland,1
Western Visayas,4
Bungoma,1
Lesser Poland Voivodeship,3
Balearic Islands,5
Abia,1
Ulster,2
Washington, D.C.,122
Santa Fe,23
North Carolina,256
Budapest,6
The Marches,5
Quebec,135
Aceh,1
Utrecht,5
Veracruz,38
Trujillo,14
Davao,7
Sverdlovsk,1
New South Wales,66
Central Serbia,8
Chelyabinsk,2
Basel-Landschaft,3
Panama,13
Delaware,36
Guarico,1
San Pedro de Macoris,5
Lorraine,14
Homs,2
Opole Voivodeship,1
New Mexico,39
Vaestra Goetaland,10
Respublika Buryatiya,2
Balikesir,1
Asyut,2
Pristina,4
Leningrad,1
Micoud Quarter,2
Vilnius County,1
Soedermanland,1
Esteli,3
Federal District,57
Flevoland,3
Northland,1
Khartoum,6
Umbria,7
Kayseri,1
Bayamon,4
Guayanilla,1
California,2411
Saint Ann,1
Queensland,30
Asuncion,15
Belize,2
Santiago del Estero,1
Georgia,387
North Dakota,18
Tokyo,5
Pennsylvania,637
Islamabad,1
Hamburg,8
Wellington,2
Connaught,11
Stockholm,20
Bengkulu,1
Muhafazat al Qalyubiyah,8
Tel Aviv,6
New Brunswick,19
Melilla,2
Republika Srpska,1
Meknes-Tafilalet,1
Sicily,42
Rogaland,1
Mayaguez,1
Uasin Gishu,6
Praha,1
Canakkale,2
Taiwan,2
Villalba,1
Perak,2
Penuelas,1
Guanajuato,27
Colonia,1
Santarem,2
Ehime,1
Chiba,3
El Oro,4
Neuquen,1
Capital,69
Valencia,37
Soccsksargen,2
Rivers,5
Atacama,2
Montevideo,18
St. Elizabeth,1
Presidente Hayes,5
Cauca,2
Buenos Aires,178
Baladiyat ad Dawhah,6
Lviv,1
Bangkok,34
Limburg,2
New Hampshire,48
Martinique,1
Central Region,4
Vermont,25
La Libertad,11
Keryneia,1
Asturias,10
Nairobi Area,22
Uusimaa,9
La Union,1
Lombardy,88
El Paraiso,1
Emilia-Romagna,38
Muhafazat ad Daqahliyah,3
Astana Qalasy,1
Lagos,4
Jerusalem,1
Piura,1
Izmir,19
Calabarzon,54
Vinnyts'ka,1
Tuen Mun,1
Monsenor Nouel,1
Ammochostos,1
Telemark,1
Krasnoyarskiy,1
Poitou-Charentes,5
Masaya,3
Lajas,3
Tamil Nadu,13
Viseu,1
Kumanovo,4
Victoria,45
Connecticut,154
Ceara,23
Hordaland,3
Andalusia,62
Ilocos,5
Manisa,1
Masovian Voivodeship,3
Picardie,5
Setubal,6
Hamilton city,2
Piaui,3
Caldas,2
Atlantico,14
Samut Prakan,1
Missouri,203
Vaesterbotten,2
Ajman,1
North Denmark,2
Alexandria,11
England,948
Demerara-Mahaica,2
South Denmark,4
Australian Capital Territory,2
Central Luzon,7
Marrakech-Tensift-Al Haouz,2
Eastern Province,15
Chiang Mai,2
Ash Shariqah,24
Rio Grande do Norte,7
Francisco Morazan,18
Auckland,7
Schleswig-Holstein,4
Punjab,1
Dededo,3
Sinaloa,9
Maputo City,1
Espirito Santo,16
Piedmont,21
Vienna,6
Newfoundland and Labrador,13
Chalatenango,1
Herrera,1
Montana,22
Limpopo,1
Zulia,52
Carazo,1
Sonora,24
Azuay,2
Castille and Leon,25
Alajuela,20
San Jose,44
Rhode Island,56
Cojedes,1
Santa Catarina,72
Johor,5
Nakhon Sawan,1
Pahang,1
Rio de Janeiro,227
Attica,14
Muhafazat Hawalli,4
Sabana Grande,5
South Kalimantan,1
Cajamarca,1
Yigo,1
Wanchai,2
Canelones,16
Novosibirsk,1
Karnataka,11
Canary Islands,21
Styria,4
KwaZulu-Natal,7
Lusaka,2
Nuevo Leon,72
Cartago,5
Kaduna,1
Scotland,83
Ponce,2
Tamaulipas,23
Manama,1
Adana,4
Arkansas,76
Ljubljana,1
Grand Casablanca,3
Matagalpa,2
Lowgar,1
Melaka,2
Lodz Voivodeship,1
Orange Free State,4
Mecklenburg-Vorpommern,1
Bali,4
Sardinia,7
La Romana,1
Quindio,3
Prince Edward Island,4
Sabah,2
Santa Cruz,3
Kirovohrad,1
Vaud,6
Mombasa,3
Arkhangelskaya,1
Konya,1
Akershus,5
Colima,12
Midi-Pyrenees,11
St.-Petersburg,1
Ceiba,1
T'bilisi,4
Central Java,7
Olancho,1
Tunis,1
Canterbury,2
Barinas,3
West Pomeranian Voivodeship,1
Quebradillas,5
Kericho,1
Kajiado,1
Central Finland,1
Hesse,2
Telangana,4
Beijing,2
Salto,3
Al Fujayrah,1
Antioquia,45
Alto Parana,3
Catamarca,1
Santa Elena,1
Leon,1
Nizjnij Novgorod,1
Aisen,2
Central Macedonia,1
Aguas Buenas,1
Carabobo,67
Morelos,14
Caguas,1
Loja,1
Saxony,1
Ica,2
Riga,1
Nacional,26
San Luis,2
Braga,5
Pirkanmaa,2
Acre,6
Shida Kartli,2
Cair,2
Sarawak,6
Nord-Pas-de-Calais,7
Tarapaca,2
Guaynabo,15
Geneva,5
Akwa Ibom,1
Utah,82
Ankara,20
Greater Accra,6
South Sulawesi,11
Lavalleja,3
Uttar Pradesh,5
Chuy,1
Gauteng,41
Central District,1
Tucuman,8
Zamboanga Peninsula,2
Cusco,1
Gyeonggi-do,2
Murcia,12
Amazonas,27
Lower Austria,4
Minsk,5
Huila,4
Antalya,10
North Brabant,1
Maranhao,14
North Rhine-Westphalia,30
Campeche,8
East Java,19
Primorskiy,1
Castries Quarter,1
Coahuila,19
Corsica,8
